서비스ID,정류소명,좌표(X),좌표(Y)
1895,탑리,127.4510315,36.70505292
1896,탑리,127.4503135,36.70488884
3381,탑연리,127.3584871,36.623062
2561,탑연리,127.3587013,36.62203236
3309,탑연삼거리,127.3595779,36.62363149
3308,탑연삼거리,127.3577175,36.6238511
2376,태랑,127.4318282,36.80679751
2636,태랑,127.4317772,36.80662669
1897,태산아파트,127.5108796,36.61361455
3355,태성1리,127.3561334,36.58707902
3365,태성2리,127.3419204,36.58643043
3366,태성2리,127.3419143,36.58630429
3363,태성교회,127.345191,36.58690086
3364,태성교회,127.3452072,36.58678817
3359,태성리,127.3547313,36.58575093
3360,태성리,127.3552246,36.58582164
3339,태성리요곡마을,127.3599593,36.58692352
3340,태성리요곡마을,127.3598081,36.58701101
3337,태성리진등고개,127.3544752,36.59284338
3338,태성리진등고개,127.3545935,36.59301352
3361,태성보건진료소,127.3500054,36.58652637
3362,태성보건진료소,127.3499072,36.58642753
3356,태성삼거리,127.3562228,36.58697394
1898,테크노폴리스지웰아파트,127.451583,36.66369733
1899,테크노폴리스지웰아파트,127.45149,36.66321333
2851,테크노폴리스지웰푸르지오아파트,127.4564459,36.67007957
2852,테크노폴리스푸르지오아파트,127.4566185,36.66994374
1900,토성리,127.5661639,36.74996779
1956,토성리,127.5661605,36.75010228
1231,팔각정공원,127.5119262,36.62406794
1232,팔각정공원,127.5122441,36.62331978
3001,팔결교,127.4734413,36.71901838
3002,팔결다리,127.473466,36.71847986
2385,팔봉1리,127.4122878,36.57710856
3493,팔봉1리,127.4118051,36.57774521
3492,팔봉1리,127.4118987,36.57782551
1960,팔봉2리,127.4093559,36.57927734
1973,팔봉2리,127.4092305,36.57928318
2387,팔봉리,127.410606,36.57231579
2389,팔봉리,127.4109219,36.57236652
2337,평동,127.4163213,36.65940615
2617,평동,127.4166407,36.65937367
1355,평촌교,127.5046289,36.59999022
1975,푸르지오.우미린아파트,127.4610054,36.66932985
1981,푸르지오.우미린아파트,127.4600032,36.67008259
1664,푸르지오캐슬1.2단지,127.4686401,36.63280689
1665,푸르지오캐슬1.2단지,127.4688359,36.6333986
1662,푸르지오캐슬4.5단지,127.4685506,36.62990939
1663,푸르지오캐슬4.5단지,127.4687282,36.62990733
3673,품곡,127.4735996,36.50103441
3669,품곡,127.4690619,36.50659701
3671,품곡,127.4710275,36.50343126
3668,품곡리,127.4690908,36.50613791
3672,품곡리(동막골),127.4735745,36.50092396
3670,품곡리(빔실),127.4709019,36.50337161
1982,풍정,127.5418416,36.70279947
2427,풍정,127.5420469,36.70294947
2697,풍정1리,127.545191,36.70089183
2699,풍정1리,127.5453208,36.70104443
4039,풍정리,127.5409067,36.70511959
1985,피반령입구,127.5583709,36.54473524
1987,피반령입구,127.5581257,36.54442324
2116,하나노인병원,127.4413411,36.60871778
1994,하나노인전문병원,127.4416146,36.60886522
2106,하나병원,127.4313602,36.62401602
1995,하나병원,127.4322027,36.62357266
2430,하대음,127.4460073,36.75626537
2350,하대음,127.4459002,36.7561838
3118,하동림(사거리),127.3368731,36.68491819
1996,하동림(원두골),127.3295933,36.67977323
1997,하동림(원두골),127.3295104,36.67986036
2213,하복대금호어울림1차아파트,127.4352389,36.64137478
2214,하복대금호어울림2차아파트,127.4354684,36.64123995
4000,하복대벽산.서청주파크자이아파트,127.4237352,36.63550027
1983,하복대삼일아파트,127.4358977,36.63417656
1984,하복대현대1차아파트,127.436126,36.63417409
1998,하석2,127.4596692,36.45914186
1999,하석2리,127.4596075,36.45923546
2170,하수처리과사택,127.3945127,36.66911681
2171,하수처리과사택,127.394485,36.66933776
2000,하수처리과종점,127.3929974,36.66706064
2205,하수처리과종점,127.3926716,36.66685581
2557,하신대,127.400414,36.67548064
2559,하신대,127.4003084,36.67560039
2373,학소리,127.471255,36.74544547
3881,학천과선교,127.388169,36.63968105
3882,학천과선교,127.3883997,36.64052962
2029,학천리,127.3855968,36.63454845
2022,학천리,127.3857611,36.63441951
2429,학평리,127.5397382,36.72726977
2431,학평리,127.5413196,36.72170272
4048,학평리,127.5394382,36.72718552
4114,학평리,127.5414354,36.72144348
3857,한계1리,127.5650196,36.59542338
3856,한계1리,127.5648913,36.59547311
2359,한계1리 마을회관,127.5669058,36.59705539
2361,한계1리(산양골),127.5679578,36.59839532
2665,한계리,127.5627649,36.60777143
2061,한계리종점,127.5629808,36.6078763
2794,한국개발연구원(KDI),127.3076292,36.48130116
1761,한국개발연구원(KDI),127.3078599,36.48110231
4191,한국개발연구원(KDI),127.308388,36.48200436
4192,한국개발연구원(KDI),127.3084502,36.48222273
1600,한국건강관리협회,127.4642135,36.6431165
1599,한국건강관리협회,127.4641514,36.64289029
3333,한국교원대정문,127.3535846,36.60698452
2107,한국교원대정문,127.3540294,36.60602179
3334,한국교원대학교,127.3581425,36.60817908
